N,matrix_type,beta,gamma,mse,snr_db,cosine_similarity
1,random_iid,0.0,0.0,0.00014425854897126555,4.41885895133457,0.7990589141845703
1,random_iid,0.0,0.1,0.00014425854897126555,4.41885895133457,0.7990589141845703
1,random_iid,0.0,0.2,0.00014425854897126555,4.41885895133457,0.7990589141845703
1,random_iid,0.0,0.3,0.00014425854897126555,4.41885895133457,0.7990589141845703
1,random_iid,0.0,0.5,0.00014425854897126555,4.41885895133457,0.7990589141845703
1,random_iid,0.15,0.0,0.00014425854897126555,4.41885895133457,0.7990589141845703
1,random_iid,0.15,0.1,0.00014425854897126555,4.41885895133457,0.7990589141845703
1,random_iid,0.15,0.2,0.00014425854897126555,4.41885895133457,0.7990589141845703
1,random_iid,0.15,0.3,0.00014425854897126555,4.41885895133457,0.7990589141845703
1,random_iid,0.15,0.5,0.00014425854897126555,4.41885895133457,0.7990589141845703
1,random_iid,0.3,0.0,0.00014425854897126555,4.41885895133457,0.7990589141845703
1,random_iid,0.3,0.1,0.00014425854897126555,4.41885895133457,0.7990589141845703
1,random_iid,0.3,0.2,0.00014425854897126555,4.41885895133457,0.7990589141845703
1,random_iid,0.3,0.3,0.00014425854897126555,4.41885895133457,0.7990589141845703
1,random_iid,0.3,0.5,0.00014425854897126555,4.41885895133457,0.7990589141845703
1,random_iid,0.5,0.0,0.00014425854897126555,4.41885895133457,0.7990589141845703
1,random_iid,0.5,0.1,0.00014425854897126555,4.41885895133457,0.7990589141845703
1,random_iid,0.5,0.2,0.00014425854897126555,4.41885895133457,0.7990589141845703
1,random_iid,0.5,0.3,0.00014425854897126555,4.41885895133457,0.7990589141845703
1,random_iid,0.5,0.5,0.00014425854897126555,4.41885895133457,0.7990589141845703
1,random_iid,0.7,0.0,0.00014425854897126555,4.41885895133457,0.7990589141845703
1,random_iid,0.7,0.1,0.00014425854897126555,4.41885895133457,0.7990589141845703
1,random_iid,0.7,0.2,0.00014425854897126555,4.41885895133457,0.7990589141845703
1,random_iid,0.7,0.3,0.00014425854897126555,4.41885895133457,0.7990589141845703
1,random_iid,0.7,0.5,0.00014425854897126555,4.41885895133457,0.7990589141845703
1,low_rank_4,0.0,0.0,0.00015105033526197076,4.4057065955319805,0.7983725070953369
1,low_rank_4,0.0,0.1,0.00015105033526197076,4.4057065955319805,0.7983725070953369
1,low_rank_4,0.0,0.2,0.00015105033526197076,4.4057065955319805,0.7983725070953369
1,low_rank_4,0.0,0.3,0.00015105033526197076,4.4057065955319805,0.7983725070953369
1,low_rank_4,0.0,0.5,0.00015105033526197076,4.4057065955319805,0.7983725070953369
1,low_rank_4,0.15,0.0,0.00015105033526197076,4.4057065955319805,0.7983725070953369
1,low_rank_4,0.15,0.1,0.00015105033526197076,4.4057065955319805,0.7983725070953369
1,low_rank_4,0.15,0.2,0.00015105033526197076,4.4057065955319805,0.7983725070953369
1,low_rank_4,0.15,0.3,0.00015105033526197076,4.4057065955319805,0.7983725070953369
1,low_rank_4,0.15,0.5,0.00015105033526197076,4.4057065955319805,0.7983725070953369
1,low_rank_4,0.3,0.0,0.00015105033526197076,4.4057065955319805,0.7983725070953369
1,low_rank_4,0.3,0.1,0.00015105033526197076,4.4057065955319805,0.7983725070953369
1,low_rank_4,0.3,0.2,0.00015105033526197076,4.4057065955319805,0.7983725070953369
1,low_rank_4,0.3,0.3,0.00015105033526197076,4.4057065955319805,0.7983725070953369
1,low_rank_4,0.3,0.5,0.00015105033526197076,4.4057065955319805,0.7983725070953369
1,low_rank_4,0.5,0.0,0.00015105033526197076,4.4057065955319805,0.7983725070953369
1,low_rank_4,0.5,0.1,0.00015105033526197076,4.4057065955319805,0.7983725070953369
1,low_rank_4,0.5,0.2,0.00015105033526197076,4.4057065955319805,0.7983725070953369
1,low_rank_4,0.5,0.3,0.00015105033526197076,4.4057065955319805,0.7983725070953369
1,low_rank_4,0.5,0.5,0.00015105033526197076,4.4057065955319805,0.7983725070953369
1,low_rank_4,0.7,0.0,0.00015105033526197076,4.4057065955319805,0.7983725070953369
1,low_rank_4,0.7,0.1,0.00015105033526197076,4.4057065955319805,0.7983725070953369
1,low_rank_4,0.7,0.2,0.00015105033526197076,4.4057065955319805,0.7983725070953369
1,low_rank_4,0.7,0.3,0.00015105033526197076,4.4057065955319805,0.7983725070953369
1,low_rank_4,0.7,0.5,0.00015105033526197076,4.4057065955319805,0.7983725070953369
1,layernorm_scale,0.0,0.0,9.098717782762833e-06,4.400108113885816,0.7980796098709106
